date,source,medium,campaign,sessions,users,new_users,bounce_rate,avg_session_duration_sec,goal_completions,goal_value_cop
2026-03-01,google,cpc,pymes-search-brand-2026q1,412,378,201,0.38,148,28,4200000
2026-03-01,linkedin,paid,fe-dian-2026q1-midmarket,184,172,142,0.42,212,9,2400000
2026-03-01,facebook,paid,pos-restobar-promo-verano-2026,924,861,712,0.58,82,31,3100000
2026-03-01,(direct),(none),(not set),628,584,318,0.45,194,22,3300000
2026-03-01,google,organic,(not set),1240,1148,612,0.41,228,42,5800000
2026-03-02,google,cpc,pymes-search-brand-2026q1,438,402,218,0.36,152,32,4800000
2026-03-02,linkedin,paid,enterprise-linkedin-abm-2026q1,98,92,84,0.39,318,6,1800000
2026-03-02,facebook,paid,alojamientos-meta-audiencetest-2026q1,1820,1742,1612,0.78,42,12,400000
2026-03-02,google,cpc,fe-google-searchintent-2026q2,0,0,0,0.00,0,0,0
2026-03-02,google,organic,(not set),1284,1192,628,0.42,231,44,6100000
2026-03-05,google,cpc,pymes-search-brand-2026q1,461,418,224,0.37,158,34,5100000
2026-03-05,linkedin,paid,fe-dian-2026q1-midmarket,168,158,134,0.43,208,8,2100000
2026-03-05,facebook,paid,pos-restobar-promo-verano-2026,1012,948,784,0.59,79,34,3400000
2026-03-05,facebook,paid,alojamientos-meta-audiencetest-2026q1,2148,2068,1948,0.81,38,14,500000
2026-03-05,email,newsletter,nomina-email-nurture-contabilistasq1,142,128,28,0.32,242,18,2400000
2026-03-08,google,cpc,pymes-search-brand-2026q1,442,412,221,0.36,156,33,4900000
2026-03-08,linkedin,paid,fe-dian-2026q1-midmarket,162,154,128,0.44,201,7,1900000
2026-03-08,google,cpc,alojamientos-search-boutique-q1,84,78,62,0.41,212,11,1800000
2026-03-08,(direct),(none),(not set),612,572,294,0.46,188,21,3100000
2026-03-08,google,organic,(not set),1342,1248,672,0.40,234,48,6800000
2026-03-12,google,cpc,pymes-search-brand-2026q1,472,438,238,0.35,162,36,5400000
2026-03-12,facebook,paid,pos-restobar-promo-verano-2026,1142,1058,892,0.61,76,38,3800000
2026-03-12,facebook,paid,alojamientos-meta-audiencetest-2026q1,2284,2208,2098,0.83,34,11,400000
2026-03-12,linkedin,paid,restobar-linkedin-cadenasmedianas-2026q1,72,68,58,0.42,228,5,1500000
2026-03-12,email,newsletter,nomina-email-nurture-contabilistasq1,138,124,24,0.31,248,16,2200000
2026-03-15,google,cpc,pymes-search-brand-2026q1,418,388,212,0.37,154,30,4400000
2026-03-15,linkedin,paid,fe-dian-2026q1-midmarket,154,148,124,0.45,198,7,2000000
2026-03-15,facebook,paid,pos-restobar-promo-verano-2026,984,918,748,0.60,78,32,3200000
2026-03-15,whatsapp,referral,pos-whatsapp-leadsfrios-q1,84,78,42,0.28,318,22,2900000
2026-03-15,google,organic,(not set),1418,1308,694,0.39,238,52,7200000
2026-03-22,google,cpc,fe-google-searchintent-2026q2,128,118,84,0.34,182,12,2100000
2026-03-22,facebook,paid,pos-meta-lookalikeclientes-q2,0,0,0,0.00,0,0,0
2026-03-22,facebook,paid,lia-launch-meta-2026q2,1428,1342,1284,0.74,52,18,800000
2026-03-22,linkedin,paid,pymes-linkedin-sponsored-q2,112,108,98,0.40,224,7,1900000
2026-03-22,(direct),(none),(not set),648,598,308,0.44,192,24,3500000
2026-04-01,google,cpc,fe-google-searchintent-2026q2,318,294,184,0.32,194,28,3800000
2026-04-01,whatsapp,referral,fe-whatsapp-retargetingq2,124,118,82,0.24,342,32,4200000
2026-04-01,facebook,paid,lia-launch-meta-2026q2,1648,1548,1482,0.76,48,21,900000
2026-04-01,linkedin,paid,enterprise-linkedin-abm-2026q1,84,80,68,0.41,308,5,1700000
2026-04-01,google,organic,(not set),1382,1284,648,0.41,232,50,6900000
2026-04-05,email,newsletter,pymes-email-reactivacioninactivosq2,98,92,12,0.34,228,11,1600000
2026-04-05,whatsapp,referral,fe-whatsapp-retargetingq2,142,134,88,0.26,338,38,5100000
2026-04-05,facebook,paid,pos-meta-lookalikeclientes-q2,2218,2128,1984,0.68,58,18,700000
