date,page_path,page_title,pageviews,unique_pageviews,avg_time_on_page_sec,exit_rate,entrances
2026-03-01,/,Loggro - Software contable y administrativo,2148,1842,68,0.42,1284
2026-03-01,/pymes,Loggro Pymes - ERP para pequenas empresas,684,542,142,0.38,318
2026-03-01,/pos,Loggro POS - Software punto de venta,512,418,128,0.41,284
2026-03-01,/restobar,Loggro Restobar - Software para restaurantes,448,372,138,0.39,242
2026-03-01,/nomina,Loggro Nomina - Liquidacion de nomina Colombia,318,284,158,0.36,142
2026-03-01,/facturacion-electronica,Facturacion electronica DIAN - Loggro,892,724,184,0.32,492
2026-03-01,/precios,Precios Loggro - Planes desde $99.000,1418,1248,98,0.48,182
2026-03-01,/lp/dian-2026,DIAN 2026 - cumple con la nueva resolucion,328,298,212,0.28,298
2026-03-01,/demo,Solicita tu demo - Loggro,418,378,68,0.22,184
2026-03-01,/blog/que-es-facturacion-electronica,Que es facturacion electronica - Blog Loggro,648,584,228,0.62,612
2026-03-05,/,Loggro - Software contable y administrativo,2284,1948,72,0.41,1342
2026-03-05,/pymes,Loggro Pymes - ERP para pequenas empresas,712,584,148,0.37,328
2026-03-05,/pos,Loggro POS - Software punto de venta,548,442,132,0.42,298
2026-03-05,/restobar,Loggro Restobar - Software para restaurantes,478,398,134,0.40,254
2026-03-05,/alojamientos,Loggro Alojamientos - Hoteles y hostales,184,168,82,0.68,142
2026-03-05,/facturacion-electronica,Facturacion electronica DIAN - Loggro,948,768,188,0.31,512
2026-03-05,/precios,Precios Loggro - Planes desde $99.000,1518,1342,102,0.49,194
2026-03-05,/lp/dian-2026,DIAN 2026 - cumple con la nueva resolucion,348,318,218,0.27,318
2026-03-05,/lp/alojamientos-guia,Guia gestion hoteles - Loggro,1812,1742,38,0.84,1712
2026-03-05,/blog/cambios-ugpp-2026,Cambios UGPP 2026 - Blog Loggro,418,378,254,0.58,388
2026-03-08,/,Loggro - Software contable y administrativo,2148,1842,70,0.42,1248
2026-03-08,/pymes,Loggro Pymes - ERP para pequenas empresas,698,572,144,0.37,318
2026-03-08,/pos,Loggro POS - Software punto de venta,524,428,134,0.41,288
2026-03-08,/enterprise,Loggro Enterprise - Soluciones a medida,118,108,168,0.34,68
2026-03-08,/precios,Precios Loggro - Planes desde $99.000,1438,1268,98,0.48,186
2026-03-08,/demo,Solicita tu demo - Loggro,438,398,72,0.21,194
2026-03-08,/lp/dian-2026,DIAN 2026 - cumple con la nueva resolucion,318,288,208,0.29,288
2026-03-08,/blog/factura-electronica-dian-2026,Factura electronica DIAN 2026 - guia completa,748,684,242,0.61,712
2026-03-08,/contacto,Contacto - Loggro,142,128,68,0.52,42
2026-03-12,/,Loggro - Software contable y administrativo,2384,2042,74,0.40,1418
2026-03-12,/pymes,Loggro Pymes - ERP para pequenas empresas,742,612,152,0.36,348
2026-03-12,/pos,Loggro POS - Software punto de venta,572,468,138,0.41,318
2026-03-12,/restobar,Loggro Restobar - Software para restaurantes,512,428,142,0.38,278
2026-03-12,/alojamientos,Loggro Alojamientos - Hoteles y hostales,168,154,78,0.69,128
2026-03-12,/lp/multitienda,Loggro multitienda - cadenas restobar,148,142,182,0.42,138
2026-03-12,/facturacion-electronica,Facturacion electronica DIAN - Loggro,984,798,192,0.30,532
2026-03-12,/precios,Precios Loggro - Planes desde $99.000,1582,1382,104,0.48,202
2026-03-12,/lp/dian-2026,DIAN 2026 - cumple con la nueva resolucion,378,342,224,0.26,342
2026-03-12,/blog/restaurantes-software-2026,Mejor software para restaurantes 2026,584,532,218,0.57,512
2026-03-15,/,Loggro - Software contable y administrativo,2248,1942,72,0.41,1342
2026-03-15,/pymes,Loggro Pymes - ERP para pequenas empresas,724,598,148,0.37,338
2026-03-15,/pos,Loggro POS - Software punto de venta,548,442,134,0.41,298
2026-03-15,/lia,LIA - Tu asistente contable con IA,148,142,82,0.78,128
2026-03-15,/facturacion-electronica,Facturacion electronica DIAN - Loggro,962,782,188,0.30,518
2026-03-15,/precios,Precios Loggro - Planes desde $99.000,1492,1318,98,0.49,196
2026-03-15,/demo,Solicita tu demo - Loggro,448,408,74,0.20,202
2026-03-15,/lp/dian-2026,DIAN 2026 - cumple con la nueva resolucion,342,312,212,0.28,312
2026-03-15,/blog/contabilidad-pymes,Contabilidad para pymes - guia 2026,512,468,238,0.60,478
2026-03-22,/,Loggro - Software contable y administrativo,2418,2084,76,0.39,1442
2026-03-22,/pymes,Loggro Pymes - ERP para pequenas empresas,768,634,152,0.36,358
2026-03-22,/pos,Loggro POS - Software punto de venta,598,488,140,0.40,328
2026-03-22,/lia,LIA - Tu asistente contable con IA,892,842,42,0.82,812
2026-03-22,/facturacion-electronica,Facturacion electronica DIAN - Loggro,1024,832,194,0.29,548
2026-03-22,/precios,Precios Loggro - Planes desde $99.000,1612,1418,108,0.47,212
2026-03-22,/demo,Solicita tu demo - Loggro,472,428,78,0.19,218
2026-03-22,/lp/dian-2026,DIAN 2026 - cumple con la nueva resolucion,368,338,228,0.25,338
2026-03-22,/blog/lia-asistente-ia,LIA - el asistente contable con IA de Loggro,348,318,184,0.64,328
2026-04-01,/,Loggro - Software contable y administrativo,2548,2184,78,0.39,1518
2026-04-01,/pymes,Loggro Pymes - ERP para pequenas empresas,798,664,156,0.35,378
2026-04-01,/pos,Loggro POS - Software punto de venta,624,512,142,0.39,348
2026-04-01,/nomina,Loggro Nomina - Liquidacion de nomina Colombia,342,308,162,0.35,158
2026-04-01,/lia,LIA - Tu asistente contable con IA,1124,1058,38,0.84,1042
2026-04-01,/lp/nomina-ugpp,Calculadora UGPP 2026 - Loggro,684,648,148,0.46,628
2026-04-01,/facturacion-electronica,Facturacion electronica DIAN - Loggro,1098,892,198,0.28,572
2026-04-01,/precios,Precios Loggro - Planes desde $99.000,1684,1482,112,0.46,224
2026-04-01,/demo,Solicita tu demo - Loggro,498,452,82,0.18,232
2026-04-01,/lp/dian-2026,DIAN 2026 - cumple con la nueva resolucion,398,368,234,0.24,368
2026-04-12,/,Loggro - Software contable y administrativo,2684,2308,80,0.38,1612
2026-04-12,/pymes,Loggro Pymes - ERP para pequenas empresas,832,694,158,0.35,398
2026-04-12,/pos,Loggro POS - Software punto de venta,684,562,138,0.41,398
2026-04-12,/restobar,Loggro Restobar - Software para restaurantes,548,462,140,0.42,318
2026-04-12,/nomina,Loggro Nomina - Liquidacion de nomina Colombia,368,332,164,0.34,168
2026-04-12,/lp/nomina-ugpp,Calculadora UGPP 2026 - Loggro,742,704,152,0.45,684
2026-04-12,/facturacion-electronica,Facturacion electronica DIAN - Loggro,1148,932,202,0.27,598
2026-04-12,/precios,Precios Loggro - Planes desde $99.000,1748,1542,114,0.46,232
2026-04-12,/demo,Solicita tu demo - Loggro,524,478,84,0.17,242
2026-04-12,/blog/pos-restaurantes,POS para restaurantes - guia 2026,432,398,224,0.58,398
2026-04-18,/,Loggro - Software contable y administrativo,2618,2248,78,0.39,1572
2026-04-18,/pymes,Loggro Pymes - ERP para pequenas empresas,812,678,158,0.35,388
2026-04-18,/pos,Loggro POS - Software punto de venta,668,548,136,0.42,388
2026-04-18,/restobar,Loggro Restobar - Software para restaurantes,498,418,138,0.43,302
2026-04-18,/facturacion-electronica,Facturacion electronica DIAN - Loggro,1182,962,204,0.27,612
2026-04-18,/precios,Precios Loggro - Planes desde $99.000,1782,1568,116,0.46,238
2026-04-18,/demo,Solicita tu demo - Loggro,538,492,86,0.17,248
2026-04-18,/blog/factura-electronica-dian-2026,Factura electronica DIAN 2026 - guia completa,924,838,248,0.58,884
2026-04-25,/,Loggro - Software contable y administrativo,2742,2348,80,0.38,1648
2026-04-25,/pymes,Loggro Pymes - ERP para pequenas empresas,848,712,160,0.34,408
2026-04-25,/pos,Loggro POS - Software punto de venta,648,532,134,0.43,378
2026-04-25,/lia,LIA - Tu asistente contable con IA,1248,1184,36,0.85,1162
2026-04-25,/facturacion-electronica,Facturacion electronica DIAN - Loggro,1218,992,208,0.26,628
2026-04-25,/precios,Precios Loggro - Planes desde $99.000,1818,1602,118,0.45,244
2026-04-25,/demo,Solicita tu demo - Loggro,562,514,88,0.16,256
2026-04-25,/blog/que-es-facturacion-electronica,Que es facturacion electronica - Blog Loggro,718,652,234,0.59,684
2026-05-02,/,Loggro - Software contable y administrativo,2812,2412,82,0.37,1684
2026-05-02,/pymes,Loggro Pymes - ERP para pequenas empresas,872,732,162,0.34,418
2026-05-02,/pos,Loggro POS - Software punto de venta,624,512,132,0.44,362
2026-05-02,/nomina,Loggro Nomina - Liquidacion de nomina Colombia,392,354,168,0.33,178
2026-05-02,/lp/nomina-ugpp,Calculadora UGPP 2026 - Loggro,798,762,156,0.44,738
2026-05-02,/facturacion-electronica,Facturacion electronica DIAN - Loggro,1258,1022,212,0.26,648
2026-05-02,/precios,Precios Loggro - Planes desde $99.000,1862,1638,120,0.45,252
2026-05-02,/demo,Solicita tu demo - Loggro,582,528,90,0.15,262
2026-05-02,/blog/contabilidad-pymes,Contabilidad para pymes - guia 2026,628,574,242,0.57,592
